'Elapsed time','ECG','ECG'
0.656,-0.195,-0.1
0.66,-0.21,-0.095
0.664,-0.195,-0.085
0.668,-0.185,-0.08
0.672,-0.175,-0.08
0.676,-0.172,-0.105
0.68,-0.165,-0.115
0.684,-0.17,-0.13
0.688,-0.177,-0.14
0.692,-0.18,-0.133
0.696,-0.175,-0.133
0.7,-0.172,-0.135
0.704,-0.16,-0.133
0.708,-0.16,-0.142
0.712,-0.15,-0.155
0.716,-0.152,-0.177
0.72,-0.158,-0.193
0.724,-0.168,-0.198
0.728,-0.158,-0.205
0.732,-0.158,-0.193
0.736,-0.145,-0.193
0.74,-0.125,-0.205
0.744,-0.117,-0.21
0.748,-0.12,-0.223
0.752,-0.13,-0.25
0.756,-0.133,-0.255
0.76,-0.13,-0.268
0.764,-0.113,-0.275
0.768,-0.09,-0.27
0.772,-0.065,-0.275
0.776,-0.052,-0.278
0.78,-0.052,-0.305
0.784,-0.03,-0.312
0.788,-0.028,-0.325
0.792,-0.013,-0.31
0.796,-0.003,-0.318
0.8,0.013,-0.3
0.804,0.03,-0.292
0.808,0.043,-0.29
0.812,0.043,-0.302
0.816,0.048,-0.31
0.82,0.04,-0.318
0.824,0.055,-0.31
0.828,0.07,-0.295
0.832,0.083,-0.278
0.836,0.117,-0.253
0.84,0.135,-0.26
0.844,0.15,-0.255
0.848,0.145,-0.26
0.852,0.145,-0.26
0.856,0.152,-0.242
0.86,0.152,-0.228
0.864,0.158,-0.215
0.868,0.175,-0.198
0.872,0.195,-0.185
0.876,0.2,-0.182
0.88,0.19,-0.182
0.884,0.163,-0.182
0.888,0.152,-0.18
0.892,0.135,-0.17
0.896,0.125,-0.155
0.9,0.117,-0.14
0.904,0.117,-0.12
0.908,0.117,-0.11
0.912,0.092,-0.12
0.916,0.068,-0.122
0.92,0.033,-0.122
0.924,0.003,-0.13
0.928,-0.01,-0.115
0.932,-0.025,-0.09
0.936,-0.02,-0.08
0.94,-0.015,-0.08
0.944,-0.022,-0.08
0.948,-0.037,-0.09
0.952,-0.05,-0.102
0.956,-0.077,-0.098
0.96,-0.085,-0.083
0.964,-0.1,-0.077
0.968,-0.09,-0.075
0.972,-0.087,-0.062
0.976,-0.087,-0.072
0.98,-0.09,-0.083
0.984,-0.102,-0.09
0.988,-0.117,-0.085
0.992,-0.128,-0.077
0.996,-0.13,-0.068
1,-0.115,-0.068
1.004,-0.12,-0.055
1.008,-0.115,-0.055
1.012,-0.117,-0.062
1.016,-0.115,-0.068
1.02,-0.122,-0.072
1.024,-0.135,-0.075
1.028,-0.14,-0.068
1.032,-0.138,-0.052
1.036,-0.13,-0.043
1.04,-0.12,-0.043
1.044,-0.13,-0.043
1.048,-0.135,-0.048
1.052,-0.14,-0.072
1.056,-0.155,-0.065
1.06,-0.145,-0.052
1.064,-0.155,-0.04
1.068,-0.138,-0.022
1.072,-0.138,-0.022
1.076,-0.128,-0.043
1.08,-0.133,-0.04
1.084,-0.145,-0.045
1.088,-0.165,-0.062
1.092,-0.155,-0.045
1.096,-0.152,-0.055
1.1,-0.142,-0.043
1.104,-0.14,-0.033
1.108,-0.142,-0.035
1.112,-0.133,-0.037
1.116,-0.142,-0.045
1.12,-0.158,-0.062
1.124,-0.158,-0.062
1.128,-0.16,-0.06
1.132,-0.15,-0.045
1.136,-0.135,-0.043
1.14,-0.125,-0.028
1.144,-0.122,-0.035
1.148,-0.128,-0.045
1.152,-0.147,-0.055
1.156,-0.15,-0.075
1.16,-0.155,-0.06
1.164,-0.147,-0.052
1.168,-0.142,-0.04
1.172,-0.135,-0.037
1.176,-0.125,-0.045
1.18,-0.133,-0.045
1.184,-0.13,-0.06
1.188,-0.145,-0.065
1.192,-0.155,-0.045
1.196,-0.147,-0.048
1.2,-0.14,-0.037
1.204,-0.13,-0.022
1.208,-0.13,-0.025
1.212,-0.135,-0.037
1.216,-0.138,-0.043
1.22,-0.155,-0.045
1.224,-0.17,-0.052
1.228,-0.165,-0.045
1.232,-0.17,-0.035
1.236,-0.158,-0.018
1.24,-0.147,-0.022
1.244,-0.145,-0.025
1.248,-0.152,-0.04
1.252,-0.152,-0.058
1.256,-0.142,-0.055
1.26,-0.155,-0.06
1.264,-0.147,-0.048
1.268,-0.142,-0.04
1.272,-0.138,-0.03
1.276,-0.13,-0.033
1.28,-0.128,-0.055
1.284,-0.135,-0.068
1.288,-0.138,-0.072
1.292,-0.16,-0.062
1.296,-0.16,-0.065
1.3,-0.142,-0.043
1.304,-0.14,-0.058
1.308,-0.125,-0.048
1.312,-0.133,-0.052
1.316,-0.145,-0.08
1.32,-0.142,-0.083
1.324,-0.16,-0.083
1.328,-0.152,-0.077
1.332,-0.152,-0.062
1.336,-0.133,-0.055
1.34,-0.13,-0.058
1.344,-0.125,-0.058
1.348,-0.135,-0.072
1.352,-0.135,-0.083
1.356,-0.152,-0.083
1.36,-0.147,-0.085
1.364,-0.152,-0.075
1.368,-0.152,-0.062
1.372,-0.138,-0.06
1.376,-0.13,-0.065
1.38,-0.125,-0.075
1.384,-0.142,-0.077
1.388,-0.152,-0.09
1.392,-0.163,-0.085
1.396,-0.152,-0.077
1.4,-0.147,-0.068
1.404,-0.142,-0.062
1.408,-0.138,-0.062
1.412,-0.135,-0.062
1.416,-0.145,-0.072
1.42,-0.15,-0.07
1.424,-0.165,-0.085
1.428,-0.17,-0.075
1.432,-0.158,-0.065
1.436,-0.16,-0.065
1.44,-0.14,-0.07
1.444,-0.135,-0.065
1.448,-0.135,-0.072
1.452,-0.147,-0.085
1.456,-0.142,-0.092
1.46,-0.152,-0.092
1.464,-0.155,-0.083
1.468,-0.133,-0.072
1.472,-0.13,-0.077
1.476,-0.13,-0.068
1.48,-0.135,-0.072
1.484,-0.145,-0.095
1.488,-0.15,-0.11
1.492,-0.158,-0.092
1.496,-0.152,-0.085
1.5,-0.158,-0.075
1.504,-0.15,-0.062
1.508,-0.135,-0.07
1.512,-0.135,-0.08
1.516,-0.147,-0.09
1.52,-0.152,-0.087
1.524,-0.163,-0.085
1.528,-0.16,-0.085
1.532,-0.16,-0.085
1.536,-0.155,-0.068
1.54,-0.142,-0.07
1.544,-0.14,-0.083
1.548,-0.14,-0.085
1.552,-0.128,-0.11
1.556,-0.147,-0.115
1.56,-0.152,-0.107
1.564,-0.138,-0.092
1.568,-0.135,-0.075
1.572,-0.107,-0.083
1.576,-0.107,-0.08
1.58,-0.113,-0.092
1.584,-0.11,-0.107
1.588,-0.125,-0.115
1.592,-0.135,-0.117
1.596,-0.142,-0.113
1.6,-0.138,-0.098
1.604,-0.12,-0.083
1.608,-0.107,-0.085
1.612,-0.105,-0.092
1.616,-0.117,-0.105
1.62,-0.12,-0.117
1.624,-0.133,-0.11
1.628,-0.142,-0.105
1.632,-0.13,-0.09
1.636,-0.122,-0.083
1.64,-0.113,-0.085
1.644,-0.12,-0.092
1.648,-0.115,-0.1
1.652,-0.135,-0.102
1.656,-0.15,-0.11
1.66,-0.138,-0.107
1.664,-0.138,-0.102
1.668,-0.135,-0.087
1.672,-0.117,-0.08
1.676,-0.122,-0.087
1.68,-0.13,-0.095
1.684,-0.135,-0.11
1.688,-0.14,-0.107
1.692,-0.135,-0.115
1.696,-0.147,-0.105
1.7,-0.142,-0.102
1.704,-0.133,-0.092
1.708,-0.115,-0.092
1.712,-0.122,-0.102
1.716,-0.13,-0.115
1.72,-0.152,-0.12
1.724,-0.155,-0.128
1.728,-0.17,-0.11
1.732,-0.158,-0.092
1.736,-0.145,-0.095
1.74,-0.138,-0.115
1.744,-0.13,-0.11
1.748,-0.125,-0.128
1.752,-0.128,-0.133
1.756,-0.133,-0.135
1.76,-0.135,-0.128
1.764,-0.135,-0.12
1.768,-0.125,-0.113
1.772,-0.117,-0.113
1.776,-0.102,-0.113
1.78,-0.102,-0.13
1.784,-0.113,-0.147
1.788,-0.125,-0.133
1.792,-0.135,-0.147
1.796,-0.122,-0.14
1.8,-0.128,-0.142
1.804,-0.117,-0.125
1.808,-0.12,-0.133
1.812,-0.1,-0.13
1.816,-0.113,-0.14
1.82,-0.122,-0.165
1.824,-0.135,-0.158
1.828,-0.14,-0.147
1.832,-0.142,-0.13
1.836,-0.122,-0.125
1.84,-0.117,-0.122
1.844,-0.113,-0.142
1.848,-0.12,-0.142
1.852,-0.117,-0.15
1.856,-0.133,-0.168
1.86,-0.138,-0.145
1.864,-0.135,-0.138
1.868,-0.128,-0.135
1.872,-0.12,-0.142
1.876,-0.113,-0.14
1.88,-0.117,-0.155
1.884,-0.122,-0.165
1.888,-0.125,-0.165
1.892,-0.152,-0.165
1.896,-0.142,-0.152
1.9,-0.122,-0.138
1.904,-0.12,-0.135
1.908,-0.122,-0.13
1.912,-0.12,-0.125
1.916,-0.133,-0.152
1.92,-0.147,-0.163
1.924,-0.152,-0.165
1.928,-0.16,-0.16
1.932,-0.155,-0.138
1.936,-0.122,-0.133
1.94,-0.107,-0.12
1.944,-0.102,-0.138
1.948,-0.11,-0.147
1.952,-0.117,-0.163
1.956,-0.138,-0.168
1.96,-0.142,-0.165
1.964,-0.13,-0.155
1.968,-0.122,-0.135
1.972,-0.1,-0.133
1.976,-0.098,-0.135
1.98,-0.107,-0.14
1.984,-0.105,-0.155
1.988,-0.12,-0.147
1.992,-0.138,-0.15
1.996,-0.117,-0.15
2,-0.1,-0.113
2.004,-0.068,-0.045
2.008,-0.025,0.04
2.012,0.035,0.17
2.016,0.1,0.292
2.02,0.16,0.398
2.024,0.198,0.465
2.028,0.223,0.468
2.032,0.223,0.45
2.036,0.175,0.422
2.04,0.13,0.4
2.044,0.052,0.365
2.048,-0.04,0.34
2.052,-0.138,0.323
2.056,-0.24,0.307
2.06,-0.315,0.292
2.064,-0.38,0.278
2.068,-0.43,0.237
2.072,-0.443,0.198
2.076,-0.43,0.125
2.08,-0.415,0.05
2.084,-0.385,0.005
2.088,-0.372,-0.037
2.092,-0.367,-0.06
2.096,-0.347,-0.095
2.1,-0.325,-0.1
2.104,-0.312,-0.135
2.108,-0.287,-0.165
2.112,-0.265,-0.2
2.116,-0.25,-0.22
2.12,-0.24,-0.245
2.124,-0.23,-0.242
2.128,-0.212,-0.247
2.132,-0.203,-0.26
2.136,-0.19,-0.233
2.14,-0.185,-0.24
2.144,-0.185,-0.253
2.148,-0.18,-0.268
2.152,-0.182,-0.278
2.156,-0.198,-0.28
2.16,-0.193,-0.278
2.164,-0.195,-0.273
2.168,-0.188,-0.26
2.172,-0.17,-0.263
2.176,-0.168,-0.268
2.18,-0.175,-0.285
2.184,-0.168,-0.297
2.188,-0.185,-0.305
2.192,-0.188,-0.318
2.196,-0.185,-0.302
2.2,-0.177,-0.305
2.204,-0.158,-0.3
2.208,-0.15,-0.315
2.212,-0.145,-0.31
2.216,-0.147,-0.335
2.22,-0.155,-0.35
2.224,-0.168,-0.347
2.228,-0.163,-0.355
2.232,-0.165,-0.35
2.236,-0.16,-0.35
2.24,-0.142,-0.357
2.244,-0.135,-0.36
2.248,-0.138,-0.383
2.252,-0.14,-0.4
2.256,-0.145,-0.403
2.26,-0.152,-0.42
2.264,-0.142,-0.415
2.268,-0.128,-0.422
2.272,-0.107,-0.427
2.276,-0.09,-0.438
2.28,-0.095,-0.46
2.284,-0.092,-0.477
2.288,-0.107,-0.502
2.292,-0.1,-0.482
2.296,-0.105,-0.485
2.3,-0.09,-0.477
2.304,-0.062,-0.485
2.308,-0.045,-0.492
2.312,-0.037,-0.5
2.316,-0.035,-0.517
2.32,-0.025,-0.522
2.324,-0.02,-0.53
2.328,-0.01,-0.51
2.332,0.01,-0.505
2.336,0.018,-0.497
2.34,0.037,-0.477
2.344,0.055,-0.485
2.348,0.07,-0.492
2.352,0.06,-0.497
2.356,0.065,-0.492
2.36,0.07,-0.472
2.364,0.095,-0.468
2.368,0.107,-0.463
2.372,0.138,-0.435
2.376,0.152,-0.43
2.38,0.168,-0.438
2.384,0.16,-0.43
2.388,0.158,-0.432
2.392,0.163,-0.42
2.396,0.165,-0.398
2.4,0.17,-0.39
2.404,0.177,-0.362
2.408,0.193,-0.36
2.412,0.195,-0.35
2.416,0.185,-0.362
2.42,0.165,-0.36
2.424,0.152,-0.35
2.428,0.142,-0.338
2.432,0.122,-0.312
2.436,0.12,-0.295
2.44,0.11,-0.292
2.444,0.098,-0.292
2.448,0.09,-0.29
2.452,0.068,-0.295
2.456,0.04,-0.282
2.46,0.018,-0.27
2.464,0,-0.265
2.468,-0.003,-0.258
2.472,0,-0.237
2.476,-0.003,-0.253
2.48,-0.022,-0.24
2.484,-0.048,-0.253
2.488,-0.058,-0.242
2.492,-0.072,-0.25
2.496,-0.075,-0.24
2.5,-0.072,-0.225
2.504,-0.065,-0.215
2.508,-0.05,-0.212
2.512,-0.062,-0.217
2.516,-0.058,-0.225
2.52,-0.077,-0.24
2.524,-0.08,-0.23
2.528,-0.083,-0.217
2.532,-0.087,-0.205
2.536,-0.077,-0.203
2.54,-0.065,-0.19
2.544,-0.058,-0.205
2.548,-0.065,-0.207
2.552,-0.062,-0.237
2.556,-0.08,-0.23
2.56,-0.095,-0.22
2.564,-0.095,-0.21
2.568,-0.085,-0.195
2.572,-0.072,-0.193
2.576,-0.062,-0.195
2.58,-0.075,-0.205
2.584,-0.085,-0.203
2.588,-0.105,-0.205
2.592,-0.113,-0.203
2.596,-0.11,-0.19
2.6,-0.113,-0.185
2.604,-0.095,-0.185
2.608,-0.072,-0.172
2.612,-0.083,-0.188
2.616,-0.083,-0.188
2.62,-0.107,-0.193
2.624,-0.105,-0.198
2.628,-0.115,-0.203
2.632,-0.102,-0.18
2.636,-0.095,-0.18
2.64,-0.092,-0.175
2.644,-0.085,-0.18
2.648,-0.08,-0.203
2.652,-0.092,-0.2
2.656,-0.107,-0.203
2.66,-0.105,-0.193
2.664,-0.102,-0.19
2.668,-0.105,-0.168
2.672,-0.09,-0.177
2.676,-0.077,-0.177
2.68,-0.1,-0.177
2.684,-0.098,-0.198
2.688,-0.122,-0.19
2.692,-0.12,-0.195
2.696,-0.11,-0.19
2.7,-0.11,-0.18
2.704,-0.113,-0.17
2.708,-0.098,-0.168
2.712,-0.092,-0.165
2.716,-0.092,-0.165
2.72,-0.105,-0.182
2.724,-0.115,-0.198
2.728,-0.13,-0.193
2.732,-0.113,-0.177
2.736,-0.09,-0.165
2.74,-0.083,-0.158
2.744,-0.098,-0.165
2.748,-0.092,-0.172
2.752,-0.1,-0.177
2.756,-0.122,-0.185
2.76,-0.115,-0.165
2.764,-0.12,-0.158
2.768,-0.113,-0.147
2.772,-0.1,-0.152
2.776,-0.102,-0.138
2.78,-0.107,-0.155
2.784,-0.122,-0.16
2.788,-0.125,-0.16
2.792,-0.135,-0.145
2.796,-0.125,-0.152
2.8,-0.11,-0.15
2.804,-0.095,-0.14
2.808,-0.102,-0.15
2.812,-0.098,-0.16
2.816,-0.095,-0.172
2.82,-0.098,-0.175
2.824,-0.117,-0.175
2.828,-0.117,-0.172
2.832,-0.11,-0.17
2.836,-0.1,-0.147
2.84,-0.09,-0.14
2.844,-0.083,-0.15
2.848,-0.08,-0.177
2.852,-0.092,-0.172
2.856,-0.11,-0.175
2.86,-0.105,-0.175
2.864,-0.12,-0.168
2.868,-0.105,-0.15
2.872,-0.092,-0.15
2.876,-0.083,-0.16
2.88,-0.087,-0.168
2.884,-0.095,-0.18
2.888,-0.11,-0.185
2.892,-0.117,-0.177
2.896,-0.12,-0.172
2.9,-0.102,-0.158
2.904,-0.095,-0.16
2.908,-0.09,-0.152
2.912,-0.087,-0.17
2.916,-0.098,-0.175
2.92,-0.107,-0.188
2.924,-0.117,-0.17
2.928,-0.115,-0.172
2.932,-0.105,-0.16
2.936,-0.095,-0.163
2.94,-0.09,-0.155
2.944,-0.072,-0.155
2.948,-0.087,-0.172
2.952,-0.095,-0.182
2.956,-0.11,-0.188
2.96,-0.115,-0.175
2.964,-0.117,-0.168
2.968,-0.102,-0.163
2.972,-0.085,-0.152
2.976,-0.072,-0.152
2.98,-0.072,-0.168
2.984,-0.092,-0.177
2.988,-0.098,-0.177
2.992,-0.1,-0.172
2.996,-0.098,-0.163
3,-0.095,-0.155
3.004,-0.07,-0.145
3.008,-0.07,-0.145
3.012,-0.068,-0.16
3.016,-0.072,-0.17
3.02,-0.08,-0.17
3.024,-0.098,-0.163
3.028,-0.105,-0.163
3.032,-0.1,-0.155
3.036,-0.087,-0.15
3.04,-0.087,-0.145
3.044,-0.077,-0.158
3.048,-0.08,-0.17
3.052,-0.09,-0.168
3.056,-0.105,-0.17
3.06,-0.11,-0.172
3.064,-0.102,-0.158
3.068,-0.095,-0.15
3.072,-0.087,-0.14
3.076,-0.077,-0.145
3.08,-0.077,-0.165
3.084,-0.09,-0.177
3.088,-0.095,-0.175
3.092,-0.092,-0.182
3.096,-0.09,-0.163
3.1,-0.09,-0.155
3.104,-0.083,-0.152
3.108,-0.07,-0.147
3.112,-0.07,-0.163
3.116,-0.08,-0.165
3.12,-0.09,-0.175
3.124,-0.098,-0.175
3.128,-0.098,-0.168
3.132,-0.092,-0.155
3.136,-0.08,-0.152
3.14,-0.07,-0.158
3.144,-0.072,-0.147
3.148,-0.075,-0.158
3.152,-0.085,-0.168
3.156,-0.092,-0.175
3.16,-0.098,-0.165
3.164,-0.087,-0.163
3.168,-0.083,-0.142
3.172,-0.068,-0.155
3.176,-0.068,-0.145
3.18,-0.068,-0.15
3.184,-0.08,-0.175
3.188,-0.087,-0.168
3.192,-0.102,-0.172
3.196,-0.085,-0.175
3.2,-0.085,-0.158
3.204,-0.072,-0.152
3.208,-0.083,-0.147
3.212,-0.07,-0.152
3.216,-0.065,-0.175
3.22,-0.08,-0.175
3.224,-0.09,-0.172
3.228,-0.085,-0.17
3.232,-0.092,-0.158
3.236,-0.075,-0.145
3.24,-0.072,-0.158
3.244,-0.06,-0.158
3.248,-0.062,-0.158
3.252,-0.083,-0.177
3.256,-0.083,-0.18
3.26,-0.087,-0.168
3.264,-0.087,-0.165
3.268,-0.08,-0.152
3.272,-0.068,-0.15
3.276,-0.06,-0.152
3.28,-0.065,-0.165
3.284,-0.08,-0.177
3.288,-0.092,-0.18
3.292,-0.092,-0.172
3.296,-0.087,-0.177
3.3,-0.087,-0.168
3.304,-0.068,-0.168
3.308,-0.065,-0.155
3.312,-0.052,-0.17
3.316,-0.055,-0.188
3.32,-0.075,-0.185
3.324,-0.077,-0.195
3.328,-0.08,-0.185
3.332,-0.087,-0.182
3.336,-0.072,-0.16
3.34,-0.062,-0.168
3.344,-0.06,-0.175
3.348,-0.06,-0.18
3.352,-0.075,-0.19
3.356,-0.09,-0.182
3.36,-0.092,-0.175
3.364,-0.09,-0.17
3.368,-0.077,-0.16
3.372,-0.062,-0.158
3.376,-0.06,-0.168
3.38,-0.062,-0.17
3.384,-0.07,-0.172
3.388,-0.085,-0.185
3.392,-0.098,-0.185
3.396,-0.087,-0.193
3.4,-0.075,-0.165
3.404,-0.072,-0.165
3.408,-0.065,-0.165
3.412,-0.065,-0.165
3.416,-0.07,-0.17
3.42,-0.075,-0.188
3.424,-0.085,-0.175
3.428,-0.077,-0.188
3.432,-0.08,-0.17
3.436,-0.07,-0.16
3.44,-0.052,-0.158
3.444,-0.037,-0.158
3.448,-0.052,-0.18
3.452,-0.062,-0.175
3.456,-0.07,-0.2
3.46,-0.08,-0.182
3.464,-0.058,-0.17
3.468,-0.075,-0.165
3.472,-0.06,-0.155
3.476,-0.05,-0.158
3.48,-0.052,-0.163
3.484,-0.06,-0.177
3.488,-0.083,-0.175
3.492,-0.075,-0.175
3.496,-0.092,-0.185
3.5,-0.083,-0.163
3.504,-0.062,-0.16
3.508,-0.045,-0.16
3.512,-0.058,-0.165
3.516,-0.048,-0.163
3.52,-0.068,-0.193
3.524,-0.083,-0.185
3.528,-0.075,-0.177
3.532,-0.072,-0.16
3.536,-0.065,-0.152
3.54,-0.045,-0.15
3.544,-0.045,-0.155
3.548,-0.062,-0.16
3.552,-0.072,-0.17
3.556,-0.08,-0.16
3.56,-0.08,-0.16
3.564,-0.077,-0.147
3.568,-0.06,-0.14
3.572,-0.035,-0.128
3.576,-0.028,-0.12
3.58,0,-0.083
3.584,0.018,-0.013
3.588,0.048,0.102
3.592,0.102,0.247
3.596,0.185,0.398
3.6,0.265,0.485
3.604,0.307,0.492
3.608,0.302,0.46
3.612,0.253,0.425
3.616,0.177,0.39
3.62,0.085,0.352
3.624,-0.013,0.35
3.628,-0.113,0.34
3.632,-0.22,0.335
3.636,-0.318,0.338
3.64,-0.398,0.325
3.644,-0.46,0.287
3.648,-0.51,0.23
3.652,-0.53,0.163
3.656,-0.522,0.1
3.66,-0.482,0.04
3.664,-0.422,0
3.668,-0.372,-0.02
3.672,-0.315,-0.045
3.676,-0.297,-0.08
3.68,-0.282,-0.115
3.684,-0.278,-0.15
3.688,-0.273,-0.193
3.692,-0.247,-0.212
3.696,-0.21,-0.22
3.7,-0.17,-0.23
3.704,-0.135,-0.233
3.708,-0.107,-0.245
3.712,-0.105,-0.255
3.716,-0.1,-0.263
3.72,-0.12,-0.268
3.724,-0.11,-0.263
3.728,-0.115,-0.282
3.732,-0.102,-0.27
3.736,-0.098,-0.265
3.74,-0.09,-0.258
3.744,-0.072,-0.263
3.748,-0.08,-0.268
3.752,-0.098,-0.295
3.756,-0.098,-0.3
3.76,-0.092,-0.29
3.764,-0.09,-0.292
3.768,-0.09,-0.275
3.772,-0.072,-0.27
3.776,-0.065,-0.278
3.78,-0.07,-0.285
3.784,-0.065,-0.297
3.788,-0.075,-0.312
3.792,-0.087,-0.318
3.796,-0.087,-0.32
3.8,-0.083,-0.295
3.804,-0.062,-0.302
3.808,-0.058,-0.312
3.812,-0.048,-0.325
3.816,-0.062,-0.345
3.82,-0.075,-0.357
3.824,-0.07,-0.35
3.828,-0.06,-0.357
3.832,-0.062,-0.365
3.836,-0.058,-0.36
3.84,-0.037,-0.37
3.844,-0.02,-0.378
3.848,-0.015,-0.403
3.852,-0.035,-0.42
3.856,-0.043,-0.412
3.86,-0.028,-0.432
3.864,-0.013,-0.435
3.868,-0.005,-0.417
3.872,0.013,-0.427
3.876,0.028,-0.435
3.88,0.03,-0.44
3.884,0.035,-0.45
3.888,0.025,-0.47
3.892,0.03,-0.47
3.896,0.043,-0.472
3.9,0.072,-0.455
3.904,0.092,-0.45
3.908,0.105,-0.453
3.912,0.138,-0.445
3.916,0.14,-0.463
3.92,0.142,-0.477
3.924,0.152,-0.468
3.928,0.16,-0.448
3.932,0.18,-0.427
3.936,0.21,-0.422
3.94,0.225,-0.422
3.944,0.253,-0.417
3.948,0.263,-0.42
3.952,0.265,-0.425
3.956,0.273,-0.42
3.96,0.275,-0.4
3.964,0.287,-0.383
3.968,0.307,-0.37
3.972,0.328,-0.355
3.976,0.318,-0.343
3.98,0.323,-0.333
3.984,0.3,-0.338
3.988,0.282,-0.335
3.992,0.27,-0.32
3.996,0.255,-0.302
4,0.25,-0.275
4.004,0.237,-0.263
4.008,0.225,-0.263
4.012,0.19,-0.253
4.016,0.177,-0.24
4.02,0.152,-0.25
4.024,0.13,-0.247
4.028,0.105,-0.24
4.032,0.092,-0.223
4.036,0.095,-0.21
4.04,0.098,-0.21
4.044,0.077,-0.212
4.048,0.058,-0.223
4.052,0.048,-0.233
4.056,0.037,-0.237
4.06,0.022,-0.23
4.064,0.013,-0.215
4.068,0.01,-0.205
4.072,0.018,-0.2
4.076,0.018,-0.2
4.08,0.013,-0.207
4.084,-0.005,-0.207
